Representation,Model,Cleaning Method,Pearson r
ProtT5-XL,Ridge,Raw Data,0.4262058460315353
ProtT5-XL,XGBoost,Raw Data,0.4364824113710372
ProtT5-XL,SVR,Raw Data,0.4317202310674181
ProtT5-XL,MLP,Raw Data,0.3798795929671647
ProtT5-XL,Random Forest,Raw Data,0.413088990676405
ProtT5-XL,KNN,Raw Data,0.3961212678143305
ProtT5-XL,Ridge,Activity Cliffs,0.4462946179101405
ProtT5-XL,XGBoost,Activity Cliffs,0.4553920347281419
ProtT5-XL,SVR,Activity Cliffs,0.4482991330072207
ProtT5-XL,MLP,Activity Cliffs,0.4072137631543691
ProtT5-XL,Random Forest,Activity Cliffs,0.4626600913894512
ProtT5-XL,KNN,Activity Cliffs,0.4334730774218773
ProtT5-XL,Ridge,Huber Robust (15%),0.5478108832855573
ProtT5-XL,XGBoost,Huber Robust (15%),0.4770487781323873
ProtT5-XL,SVR,Huber Robust (15%),0.5103951739548276
ProtT5-XL,MLP,Huber Robust (15%),0.3586164146237587
ProtT5-XL,Random Forest,Huber Robust (15%),0.4804069925013446
ProtT5-XL,KNN,Huber Robust (15%),0.4470934398434052
ProtT5-XL,Ridge,Ensemble Variance (15%),0.4039396297051484
ProtT5-XL,XGBoost,Ensemble Variance (15%),0.4159358579463162
ProtT5-XL,SVR,Ensemble Variance (15%),0.4152319025530231
ProtT5-XL,MLP,Ensemble Variance (15%),0.3290079098719062
ProtT5-XL,Random Forest,Ensemble Variance (15%),0.4069980542717434
ProtT5-XL,KNN,Ensemble Variance (15%),0.3698393729503799
ESM-2 (650M),Ridge,Raw Data,0.4080017926093752
ESM-2 (650M),XGBoost,Raw Data,0.3902064561652762
ESM-2 (650M),SVR,Raw Data,0.2963952382925094
ESM-2 (650M),MLP,Raw Data,0.3507100363445877
ESM-2 (650M),Random Forest,Raw Data,0.3915408837772832
ESM-2 (650M),KNN,Raw Data,0.3374654201298546
ESM-2 (650M),Ridge,Activity Cliffs,0.4130068950533762
ESM-2 (650M),XGBoost,Activity Cliffs,0.4138774419388737
ESM-2 (650M),SVR,Activity Cliffs,0.3113903047304933
ESM-2 (650M),MLP,Activity Cliffs,0.3392485706895772
ESM-2 (650M),Random Forest,Activity Cliffs,0.4166041751692231
ESM-2 (650M),KNN,Activity Cliffs,0.3589136003411271
ESM-2 (650M),Ridge,Huber Robust (15%),0.4521460298599686
ESM-2 (650M),XGBoost,Huber Robust (15%),0.4231303966170278
ESM-2 (650M),SVR,Huber Robust (15%),0.3167767483584401
ESM-2 (650M),MLP,Huber Robust (15%),0.3280419781711649
ESM-2 (650M),Random Forest,Huber Robust (15%),0.4266428418519368
ESM-2 (650M),KNN,Huber Robust (15%),0.3637299257385024
ESM-2 (650M),Ridge,Ensemble Variance (15%),0.367867231543954
ESM-2 (650M),XGBoost,Ensemble Variance (15%),0.381941523360653
ESM-2 (650M),SVR,Ensemble Variance (15%),0.2980794796308864
ESM-2 (650M),MLP,Ensemble Variance (15%),0.2881216456887804
ESM-2 (650M),Random Forest,Ensemble Variance (15%),0.3857204330413835
ESM-2 (650M),KNN,Ensemble Variance (15%),0.2942925877111723
ESM-2 (35M),Ridge,Raw Data,0.3856389660614763
ESM-2 (35M),XGBoost,Raw Data,0.3317041504971832
ESM-2 (35M),SVR,Raw Data,0.3092571393229572
ESM-2 (35M),MLP,Raw Data,0.2778503854058832
ESM-2 (35M),Random Forest,Raw Data,0.387229940531992
ESM-2 (35M),KNN,Raw Data,0.3030209236175132
ESM-2 (35M),Ridge,Activity Cliffs,0.4137607738569063
ESM-2 (35M),XGBoost,Activity Cliffs,0.3655550410556784
ESM-2 (35M),SVR,Activity Cliffs,0.326311210270906
ESM-2 (35M),MLP,Activity Cliffs,0.3183909809771638
ESM-2 (35M),Random Forest,Activity Cliffs,0.3897365206481497
ESM-2 (35M),KNN,Activity Cliffs,0.3598022837375886
