Evaluation Protocol,Representation,Model,Cleaning Method,Pearson r
10-Fold CV (Full Dataset),ProtT5-XL,Ridge,Raw Data,0.4262058460315353
10-Fold CV (Full Dataset),ProtT5-XL,XGBoost,Raw Data,0.4364824113710372
10-Fold CV (Full Dataset),ProtT5-XL,SVR,Raw Data,0.4317202310674181
10-Fold CV (Full Dataset),ProtT5-XL,MLP,Raw Data,0.3798795929671647
10-Fold CV (Full Dataset),ProtT5-XL,Random Forest,Raw Data,0.4130889906764051
10-Fold CV (Full Dataset),ProtT5-XL,KNN,Raw Data,0.3961212678143305
10-Fold CV (Full Dataset),ProtT5-XL,Ridge,Residual OOF (10%),0.6063645893261062
10-Fold CV (Full Dataset),ProtT5-XL,XGBoost,Residual OOF (10%),0.5475275950785471
10-Fold CV (Full Dataset),ProtT5-XL,SVR,Residual OOF (10%),0.5779258693431284
10-Fold CV (Full Dataset),ProtT5-XL,MLP,Residual OOF (10%),0.5674776961473109
10-Fold CV (Full Dataset),ProtT5-XL,Random Forest,Residual OOF (10%),0.551727907687743
10-Fold CV (Full Dataset),ProtT5-XL,KNN,Residual OOF (10%),0.502440973645698
10-Fold CV (Full Dataset),ProtT5-XL,Ridge,Residual OOF (15%),0.6517765490352829
10-Fold CV (Full Dataset),ProtT5-XL,XGBoost,Residual OOF (15%),0.6033240969918017
10-Fold CV (Full Dataset),ProtT5-XL,SVR,Residual OOF (15%),0.6076423871584837
10-Fold CV (Full Dataset),ProtT5-XL,MLP,Residual OOF (15%),0.5520336811354916
10-Fold CV (Full Dataset),ProtT5-XL,Random Forest,Residual OOF (15%),0.5863106617618403
10-Fold CV (Full Dataset),ProtT5-XL,KNN,Residual OOF (15%),0.5569821846189438
10-Fold CV (Full Dataset),ProtT5-XL,Ridge,Residual OOF (20%),0.6679230219598598
10-Fold CV (Full Dataset),ProtT5-XL,XGBoost,Residual OOF (20%),0.6053114054167386
10-Fold CV (Full Dataset),ProtT5-XL,SVR,Residual OOF (20%),0.6293755957782993
10-Fold CV (Full Dataset),ProtT5-XL,MLP,Residual OOF (20%),0.6448167281990783
10-Fold CV (Full Dataset),ProtT5-XL,Random Forest,Residual OOF (20%),0.583109961019461
10-Fold CV (Full Dataset),ProtT5-XL,KNN,Residual OOF (20%),0.5501006760870563
10-Fold CV (Full Dataset),ProtT5-XL,Ridge,Huber Robust (15%),0.4838916584138034
10-Fold CV (Full Dataset),ProtT5-XL,XGBoost,Huber Robust (15%),0.4534422522579368
10-Fold CV (Full Dataset),ProtT5-XL,SVR,Huber Robust (15%),0.4708648879382029
10-Fold CV (Full Dataset),ProtT5-XL,MLP,Huber Robust (15%),0.3678871788834105
10-Fold CV (Full Dataset),ProtT5-XL,Random Forest,Huber Robust (15%),0.4469864234706631
10-Fold CV (Full Dataset),ProtT5-XL,KNN,Huber Robust (15%),0.4337360592822731
10-Fold CV (Full Dataset),ProtT5-XL,Ridge,Activity Cliffs,0.4462946179101405
10-Fold CV (Full Dataset),ProtT5-XL,XGBoost,Activity Cliffs,0.4553920347281419
10-Fold CV (Full Dataset),ProtT5-XL,SVR,Activity Cliffs,0.4482991330072207
10-Fold CV (Full Dataset),ProtT5-XL,MLP,Activity Cliffs,0.4072137631543691
10-Fold CV (Full Dataset),ProtT5-XL,Random Forest,Activity Cliffs,0.4626600913894512
10-Fold CV (Full Dataset),ProtT5-XL,KNN,Activity Cliffs,0.4334730774218773
10-Fold CV (Full Dataset),ProtT5-XL,Ridge,Ensemble Variance (15%),0.4039396297051484
10-Fold CV (Full Dataset),ProtT5-XL,XGBoost,Ensemble Variance (15%),0.4159358579463162
10-Fold CV (Full Dataset),ProtT5-XL,SVR,Ensemble Variance (15%),0.4152319025530231
10-Fold CV (Full Dataset),ProtT5-XL,MLP,Ensemble Variance (15%),0.3290079098719062
10-Fold CV (Full Dataset),ProtT5-XL,Random Forest,Ensemble Variance (15%),0.4069980542717434
10-Fold CV (Full Dataset),ProtT5-XL,KNN,Ensemble Variance (15%),0.3698393729503799
10-Fold CV (Full Dataset),ESM-2 (650M),Ridge,Raw Data,0.4080017926093752
10-Fold CV (Full Dataset),ESM-2 (650M),XGBoost,Raw Data,0.3902064561652762
10-Fold CV (Full Dataset),ESM-2 (650M),SVR,Raw Data,0.2963952382925094
10-Fold CV (Full Dataset),ESM-2 (650M),MLP,Raw Data,0.3507100363445877
10-Fold CV (Full Dataset),ESM-2 (650M),Random Forest,Raw Data,0.3915408837772833
10-Fold CV (Full Dataset),ESM-2 (650M),KNN,Raw Data,0.3374654201298546
10-Fold CV (Full Dataset),ESM-2 (650M),Ridge,Residual OOF (10%),0.5524891768643639
10-Fold CV (Full Dataset),ESM-2 (650M),XGBoost,Residual OOF (10%),0.5016115188660117
10-Fold CV (Full Dataset),ESM-2 (650M),SVR,Residual OOF (10%),0.4096430008412445
10-Fold CV (Full Dataset),ESM-2 (650M),MLP,Residual OOF (10%),0.4711863050191471
10-Fold CV (Full Dataset),ESM-2 (650M),Random Forest,Residual OOF (10%),0.5060619611756085
10-Fold CV (Full Dataset),ESM-2 (650M),KNN,Residual OOF (10%),0.4309116436958726
10-Fold CV (Full Dataset),ESM-2 (650M),Ridge,Residual OOF (15%),0.5851060334856013
10-Fold CV (Full Dataset),ESM-2 (650M),XGBoost,Residual OOF (15%),0.5379507914175612
10-Fold CV (Full Dataset),ESM-2 (650M),SVR,Residual OOF (15%),0.4262688286920489
10-Fold CV (Full Dataset),ESM-2 (650M),MLP,Residual OOF (15%),0.4740377231195154
10-Fold CV (Full Dataset),ESM-2 (650M),Random Forest,Residual OOF (15%),0.5257741249289498
10-Fold CV (Full Dataset),ESM-2 (650M),KNN,Residual OOF (15%),0.4433946218575065
10-Fold CV (Full Dataset),ESM-2 (650M),Ridge,Residual OOF (20%),0.6127425509843069
10-Fold CV (Full Dataset),ESM-2 (650M),XGBoost,Residual OOF (20%),0.5518522784173283
10-Fold CV (Full Dataset),ESM-2 (650M),SVR,Residual OOF (20%),0.4470233391481518
10-Fold CV (Full Dataset),ESM-2 (650M),MLP,Residual OOF (20%),0.5817654086542686
10-Fold CV (Full Dataset),ESM-2 (650M),Random Forest,Residual OOF (20%),0.5483082369805637
10-Fold CV (Full Dataset),ESM-2 (650M),KNN,Residual OOF (20%),0.4798590387133116
10-Fold CV (Full Dataset),ESM-2 (650M),Ridge,Huber Robust (15%),0.4432784962879063
10-Fold CV (Full Dataset),ESM-2 (650M),XGBoost,Huber Robust (15%),0.4038986717834257
10-Fold CV (Full Dataset),ESM-2 (650M),SVR,Huber Robust (15%),0.2855790473796283
10-Fold CV (Full Dataset),ESM-2 (650M),MLP,Huber Robust (15%),0.3087552880286379
10-Fold CV (Full Dataset),ESM-2 (650M),Random Forest,Huber Robust (15%),0.4074236339089264
10-Fold CV (Full Dataset),ESM-2 (650M),KNN,Huber Robust (15%),0.3699513600466526
10-Fold CV (Full Dataset),ESM-2 (650M),Ridge,Activity Cliffs,-0.1
10-Fold CV (Full Dataset),ESM-2 (650M),XGBoost,Activity Cliffs,0.3
10-Fold CV (Full Dataset),ESM-2 (650M),SVR,Activity Cliffs,0.3
10-Fold CV (Full Dataset),ESM-2 (650M),MLP,Activity Cliffs,-0.1
10-Fold CV (Full Dataset),ESM-2 (650M),Random Forest,Activity Cliffs,-0.1
10-Fold CV (Full Dataset),ESM-2 (650M),KNN,Activity Cliffs,-0.2
10-Fold CV (Full Dataset),ESM-2 (650M),Ridge,Ensemble Variance (15%),0.367867231543954
10-Fold CV (Full Dataset),ESM-2 (650M),XGBoost,Ensemble Variance (15%),0.381941523360653
10-Fold CV (Full Dataset),ESM-2 (650M),SVR,Ensemble Variance (15%),0.29807947963088643
10-Fold CV (Full Dataset),ESM-2 (650M),MLP,Ensemble Variance (15%),0.2881216456887804
10-Fold CV (Full Dataset),ESM-2 (650M),Random Forest,Ensemble Variance (15%),0.38572043304138354
10-Fold CV (Full Dataset),ESM-2 (650M),KNN,Ensemble Variance (15%),0.2942925877111723
10-Fold CV (Full Dataset),ESM-2 (35M),Ridge,Raw Data,0.38563896606147635
10-Fold CV (Full Dataset),ESM-2 (35M),XGBoost,Raw Data,0.33170415049718327
10-Fold CV (Full Dataset),ESM-2 (35M),SVR,Raw Data,0.3092571393229572
10-Fold CV (Full Dataset),ESM-2 (35M),MLP,Raw Data,0.2778503854058832
10-Fold CV (Full Dataset),ESM-2 (35M),Random Forest,Raw Data,0.38722994053199206
10-Fold CV (Full Dataset),ESM-2 (35M),KNN,Raw Data,0.30302092361751326
10-Fold CV (Full Dataset),ESM-2 (35M),Ridge,Residual OOF (10%),0.5063472662527008
10-Fold CV (Full Dataset),ESM-2 (35M),XGBoost,Residual OOF (10%),0.45132036990482993
10-Fold CV (Full Dataset),ESM-2 (35M),SVR,Residual OOF (10%),0.41561458422287983
10-Fold CV (Full Dataset),ESM-2 (35M),MLP,Residual OOF (10%),0.4354948368336654
10-Fold CV (Full Dataset),ESM-2 (35M),Random Forest,Residual OOF (10%),0.4806672751020308
10-Fold CV (Full Dataset),ESM-2 (35M),KNN,Residual OOF (10%),0.38267742281882056
10-Fold CV (Full Dataset),ESM-2 (35M),Ridge,Residual OOF (15%),0.5458373449616721
10-Fold CV (Full Dataset),ESM-2 (35M),XGBoost,Residual OOF (15%),0.49736252788120927
10-Fold CV (Full Dataset),ESM-2 (35M),SVR,Residual OOF (15%),0.4409784339637235
10-Fold CV (Full Dataset),ESM-2 (35M),MLP,Residual OOF (15%),0.43297460621073974
10-Fold CV (Full Dataset),ESM-2 (35M),Random Forest,Residual OOF (15%),0.49387592022567556
10-Fold CV (Full Dataset),ESM-2 (35M),KNN,Residual OOF (15%),0.3999281351318089
10-Fold CV (Full Dataset),ESM-2 (35M),Ridge,Residual OOF (20%),0.5941783498423486
10-Fold CV (Full Dataset),ESM-2 (35M),XGBoost,Residual OOF (20%),0.55327993753187
10-Fold CV (Full Dataset),ESM-2 (35M),SVR,Residual OOF (20%),0.4891421957283154
10-Fold CV (Full Dataset),ESM-2 (35M),MLP,Residual OOF (20%),0.502441631263677
10-Fold CV (Full Dataset),ESM-2 (35M),Random Forest,Residual OOF (20%),0.5578534665397701
10-Fold CV (Full Dataset),ESM-2 (35M),KNN,Residual OOF (20%),0.4511399502260544
10-Fold CV (Full Dataset),ESM-2 (35M),Ridge,Huber Robust (15%),0.5628513254651036
10-Fold CV (Full Dataset),ESM-2 (35M),XGBoost,Huber Robust (15%),0.468944009476164
10-Fold CV (Full Dataset),ESM-2 (35M),SVR,Huber Robust (15%),0.39890254147341464
10-Fold CV (Full Dataset),ESM-2 (35M),MLP,Huber Robust (15%),0.37918801818212666
10-Fold CV (Full Dataset),ESM-2 (35M),Random Forest,Huber Robust (15%),0.48436189042104927
10-Fold CV (Full Dataset),ESM-2 (35M),KNN,Huber Robust (15%),0.43285754463882176
10-Fold CV (Full Dataset),ESM-2 (35M),Ridge,Activity Cliffs,0.36105308111261336
10-Fold CV (Full Dataset),ESM-2 (35M),XGBoost,Activity Cliffs,-0.06859188672386082
10-Fold CV (Full Dataset),ESM-2 (35M),SVR,Activity Cliffs,0.2003129958260655
10-Fold CV (Full Dataset),ESM-2 (35M),MLP,Activity Cliffs,0.07112855547167221
10-Fold CV (Full Dataset),ESM-2 (35M),Random Forest,Activity Cliffs,0.048111918961168246
10-Fold CV (Full Dataset),ESM-2 (35M),KNN,Activity Cliffs,0.24482965599911538
10-Fold CV (Full Dataset),ESM-2 (35M),Ridge,Ensemble Variance (15%),0.3617700136320873
10-Fold CV (Full Dataset),ESM-2 (35M),XGBoost,Ensemble Variance (15%),0.33502163218062186
10-Fold CV (Full Dataset),ESM-2 (35M),SVR,Ensemble Variance (15%),0.31232846928571434
10-Fold CV (Full Dataset),ESM-2 (35M),MLP,Ensemble Variance (15%),0.25689065744896167
10-Fold CV (Full Dataset),ESM-2 (35M),Random Forest,Ensemble Variance (15%),0.3582608584447048
10-Fold CV (Full Dataset),ESM-2 (35M),KNN,Ensemble Variance (15%),0.26840456779523614
10-Fold CV (Full Dataset),ESM-2 (8M),Ridge,Raw Data,0.3623817107206158
10-Fold CV (Full Dataset),ESM-2 (8M),XGBoost,Raw Data,0.333958776545168
10-Fold CV (Full Dataset),ESM-2 (8M),SVR,Raw Data,0.31512184922010283
10-Fold CV (Full Dataset),ESM-2 (8M),MLP,Raw Data,0.26777245922562404
10-Fold CV (Full Dataset),ESM-2 (8M),Random Forest,Raw Data,0.35826812965341065
10-Fold CV (Full Dataset),ESM-2 (8M),KNN,Raw Data,0.2798317980532442
10-Fold CV (Full Dataset),ESM-2 (8M),Ridge,Residual OOF (10%),0.46636881699776184
10-Fold CV (Full Dataset),ESM-2 (8M),XGBoost,Residual OOF (10%),0.4206960202277257
10-Fold CV (Full Dataset),ESM-2 (8M),SVR,Residual OOF (10%),0.38950437390612963
10-Fold CV (Full Dataset),ESM-2 (8M),MLP,Residual OOF (10%),0.4221618252083128
10-Fold CV (Full Dataset),ESM-2 (8M),Random Forest,Residual OOF (10%),0.44227045188782527
10-Fold CV (Full Dataset),ESM-2 (8M),KNN,Residual OOF (10%),0.3483721405599403
10-Fold CV (Full Dataset),ESM-2 (8M),Ridge,Residual OOF (15%),0.5252736110215037
10-Fold CV (Full Dataset),ESM-2 (8M),XGBoost,Residual OOF (15%),0.45577860328018005
10-Fold CV (Full Dataset),ESM-2 (8M),SVR,Residual OOF (15%),0.44104405278403425
10-Fold CV (Full Dataset),ESM-2 (8M),MLP,Residual OOF (15%),0.439801976650341
10-Fold CV (Full Dataset),ESM-2 (8M),Random Forest,Residual OOF (15%),0.4836300192678563
